pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,window_size,num_filters
1.2618075609207153,0.5993392467498779,4.02002477645874,0.11117086559534073,0.16196641456223562,relu,"(1, 1)",1
1.8348015546798706,0.36313000321388245,6.485949516296387,0.05070682242512703,0.09235163440177721,trop,"(1, 1)",1
1.2516303062438965,0.5964198112487793,6.768701076507568,0.016825444996356964,0.01932242689681824,relu,"(1, 1)",3
1.8299329280853271,0.36593422293663025,8.559009552001953,0.03522587567567825,0.06277556162082722,trop,"(1, 1)",3
1.0190366506576538,0.6817378401756287,6.865902423858643,0.02158881351351738,0.02614526398827971,relu,"(1, 1)",5
1.8271596431732178,0.36485862731933594,8.151981353759766,0.03703134506940842,0.07264687302590019,trop,"(1, 1)",5
1.073529839515686,0.6657190918922424,6.628240585327148,0.04555931314826012,0.05597230236583958,relu,"(1, 1)",10
1.7969826459884644,0.3760371804237366,9.125911712646484,0.04233251512050629,0.08008989682296455,trop,"(1, 1)",10
1.0022920370101929,0.6901505589485168,7.799288272857666,0.03680086135864258,0.041634197929422245,relu,"(1, 1)",15
1.7602264881134033,0.38978949189186096,10.419207572937012,0.03438076376914978,0.05449886666009658,trop,"(1, 1)",15
0.9947982430458069,0.6916103363037109,7.2246503829956055,0.042524583637714386,0.05137747167296156,relu,"(1, 1)",20
1.7389651536941528,0.40400275588035583,9.83605670928955,0.03464966267347336,0.05144052486450509,trop,"(1, 1)",20
0.7675026655197144,0.7636754512786865,8.332667350769043,0.05293484777212143,0.06317907444668008,relu,"(5, 5)",1
