pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred
0.11116795986890793,0.9631999731063843,0.5782297253608704,0.7949000000953674,0.8230897009966778
0.12311113625764847,0.9648000001907349,0.6051366925239563,0.7937999963760376,0.82058457711442790
0.10411053150892258,0.9667999744415283,0.5632961988449097,0.8058000206947327,0.83202316921803890
0.13139738142490387,0.9603000283241272,0.7611417770385742,0.7620000243186951,0.7915234822451317
0.13830675184726715,0.9595999717712402,0.6724252700805664,0.7724999785423279,0.8041892455189662
0.14903190732002258,0.9569000005722046,1.2768925428390503,0.6502000093460083,0.6784407984115373
0.13527575135231018,0.9592999815940857,0.5619213581085205,0.805899977684021,0.8382153653705827
0.1272655874490738,0.9585999846458435,0.6817349195480347,0.7839999794960022,0.814938451909034
0.12340974062681198,0.9620000123977661,0.6408263444900513,0.7789000272750854,0.8086278586278586
0.14379379153251648,0.9589999914169312,0.6453110575675964,0.7910000085830688,0.8233576642335766
0.1383824646472931,0.9606000185012817,0.949840247631073,0.7050999999046326,0.7330834894857381
0.14266404509544373,0.9563000202178955,0.6059480905532837,0.7936000227928162,0.8264143051343721
0.10984490066766739,0.9692999720573425,0.6387624144554138,0.7875999808311462,0.8116166305581347
0.11606022715568542,0.9641000032424927,0.6072685122489929,0.7894999980926514,0.8180686650762369
0.14296115934848785,0.964900016784668,0.6400772929191589,0.7942000031471252,0.8225722872836564
0.13842608034610748,0.9549999833106995,0.7541143298149109,0.7416999936103821,0.7752879581151833
0.13952721655368805,0.9589999914169312,0.708279550075531,0.7580999732017517,0.7884254431699688
0.14570856094360352,0.9549000263214111,0.7052664160728455,0.7595999836921692,0.7935909519321395
0.14925198256969452,0.9538999795913696,0.917350709438324,0.713100016117096,0.7460949785092778
0.1433596909046173,0.9545999765396118,0.7258358597755432,0.7462999820709229,0.7795935470354075
0.11992165446281433,0.9628999829292297,0.4997406601905823,0.8240000009536743,0.8531519368574099
0.15517328679561615,0.9537000060081482,0.5294182896614075,0.8260999917984009,0.861486840725595
0.15028809010982513,0.9513000249862671,0.5706505179405212,0.79830002784729,0.8361189950593924
0.13104204833507538,0.9599999785423279,0.8272879123687744,0.7311999797821045,0.7610416666666666
0.11597099900245667,0.9624999761581421,0.6315923929214478,0.7846999764442444,0.8130909090909091
0.12617266178131104,0.9628999829292297,0.7362675070762634,0.7524999976158142,0.7801433170630387
0.12401215732097626,0.9649999737739563,0.5654111504554749,0.8136000037193298,0.8409326424870466
0.12649838626384735,0.9616000056266785,0.6762291789054871,0.7739999890327454,0.8032445923460898
0.2220754325389862,0.9287999868392944,1.2324321269989014,0.6485999822616577,0.6955211024978467
