pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,attack
0.046624504029750824,0.9879999756813049,0.07426456362009048,0.979200005531311,0.9910931174089069,trop,1
0.046624504029750824,0.9879999756813049,0.17097176611423492,0.9506999850273132,0.9622469635627531,trop,3
0.046624504029750824,0.9879999756813049,0.353035032749176,0.9036999940872192,0.9146761133603238,trop,5
0.046624504029750824,0.9879999756813049,0.6425749063491821,0.8345000147819519,0.8446356275303644,trop,7
0.055909741669893265,0.9864000082015991,0.08985814452171326,0.978600025177002,0.9920924574209246,relu,1
0.055909741669893265,0.9864000082015991,0.20690327882766724,0.9517999887466431,0.9649229521492295,relu,3
0.055909741669893265,0.9864000082015991,0.45217522978782654,0.8960999846458435,0.9084549878345499,relu,5
0.055909741669893265,0.9864000082015991,0.9351563453674316,0.7943999767303467,0.805352798053528,relu,7
0.046624504029750824,0.9879999756813049,1.0361604690551758,0.7488999962806702,0.757995951417004,trop,9
0.055909741669893265,0.9864000082015991,1.7741038799285889,0.6453999876976013,0.6542984590429846,relu,9
0.046624504029750824,0.9879999756813049,1.3553310632705688,0.6852999925613403,0.6936234817813766,trop,11
0.055909741669893265,0.9864000082015991,2.4850234985351562,0.546500027179718,0.5540348742903487,relu,11
0.046624504029750824,0.9879999756813049,1.5261669158935547,0.65420001745224,0.6621457489878543,trop,13
0.055909741669893265,0.9864000082015991,2.70703387260437,0.5131000280380249,0.5201743714517437,relu,13
0.046624504029750824,0.9879999756813049,1.6566740274429321,0.6323999762535095,0.6400809716599191,trop,15
0.055909741669893265,0.9864000082015991,2.856675863265991,0.49160000681877136,0.4983779399837794,relu,15
0.046624504029750824,0.9879999756813049,1.7578636407852173,0.6137999892234802,0.6212550607287449,trop,17
0.055909741669893265,0.9864000082015991,2.9622504711151123,0.47839999198913574,0.48499594484995945,relu,17
0.046624504029750824,0.9879999756813049,1.8351869583129883,0.6013000011444092,0.6086032388663968,trop,19
0.046624504029750824,0.9879999756813049,2.4135005474090576,0.5521000027656555,0.5588056680161944,trop,21
0.046624504029750824,0.9879999756813049,2.892709493637085,0.5325000286102295,0.5389676113360324,trop,23
0.046624504029750824,0.9879999756813049,3.2263123989105225,0.5194000005722046,0.5257085020242915,trop,25
0.046624504029750824,0.9879999756813049,3.435732841491699,0.5095999836921692,0.5157894736842106,trop,27
0.046624504029750824,0.9879999756813049,3.572488784790039,0.5023999810218811,0.5085020242914979,trop,29
0.046624504029750824,0.9879999756813049,3.671429395675659,0.49630001187324524,0.502327935222672,trop,31
0.046624504029750824,0.9879999756813049,3.743401527404785,0.49219998717308044,0.49817813765182184,trop,33
0.046624504029750824,0.9879999756813049,3.801779270172119,0.4878000020980835,0.4937246963562753,trop,35
0.046624504029750824,0.9879999756813049,3.850360155105591,0.4839000105857849,0.48977732793522266,trop,37
0.046624504029750824,0.9879999756813049,3.8873448371887207,0.48019999265670776,0.4860323886639676,trop,39
0.046624504029750824,0.9879999756813049,3.9247093200683594,0.4772000014781952,0.482995951417004,trop,41
0.055909741669893265,0.9864000082015991,3.0378737449645996,0.46709999442100525,0.47354014598540145,relu,19
0.055909741669893265,0.9864000082015991,4.790523052215576,0.3068999946117401,0.31113138686131386,relu,21
0.055909741669893265,0.9864000082015991,6.843967914581299,0.20679999887943268,0.20965125709651258,relu,23
0.055909741669893265,0.9864000082015991,9.063230514526367,0.1395999938249588,0.14152473641524738,relu,25
0.055909741669893265,0.9864000082015991,11.351922035217285,0.10580000281333923,0.10725871857258719,relu,27
0.055909741669893265,0.9864000082015991,13.650106430053711,0.08780000358819962,0.08901054339010543,relu,29
0.055909741669893265,0.9864000082015991,15.930718421936035,0.0737999975681305,0.07481751824817519,relu,31
0.055909741669893265,0.9864000082015991,18.195016860961914,0.059700001031160355,0.060523114355231146,relu,33
0.055909741669893265,0.9864000082015991,20.449697494506836,0.04699999839067459,0.04764801297648013,relu,35
0.055909741669893265,0.9864000082015991,22.693693161010742,0.03819999843835831,0.03872668288726683,relu,37
0.055909741669893265,0.9864000082015991,24.925540924072266,0.031199999153614044,0.031630170316301706,relu,39
0.055909741669893265,0.9864000082015991,27.14643096923828,0.026799999177455902,0.027169505271695052,relu,41
