pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type,attack
0.03244137391448021,0.9916999936103821,0.0451798178255558,0.988099992275238,0.9963698699203388,trop,1
0.03244137391448021,0.9916999936103821,0.08286505937576294,0.977400004863739,0.9855803166280125,trop,3
0.03244137391448021,0.9916999936103821,0.143263041973114,0.9629999995231628,0.9710597963093678,trop,5
0.03244137391448021,0.9916999936103821,0.23420536518096924,0.942799985408783,0.9506907330846022,trop,7
0.03244137391448021,0.9916999936103821,0.36160415410995483,0.9150000214576721,0.9226580619138852,trop,9
0.03244137391448021,0.9916999936103821,0.4729965329170227,0.8903999924659729,0.8978521730362005,trop,11
0.03244137391448021,0.9916999936103821,0.5285604596138,0.876800000667572,0.8841383482908137,trop,13
0.03244137391448021,0.9916999936103821,0.5724306702613831,0.8652999997138977,0.8725420994252294,trop,15
0.03244137391448021,0.9916999936103821,0.6066688299179077,0.8565000295639038,0.8636684481193909,trop,17
0.03244137391448021,0.9916999936103821,0.6323263049125671,0.8507999777793884,0.8579207421599274,trop,19
0.03244137391448021,0.9916999936103821,0.6516982316970825,0.8467000126838684,0.85378642734698,trop,21
0.03244137391448021,0.9916999936103821,0.6661356687545776,0.8424000144004822,0.849450438640718,trop,23
0.03244137391448021,0.9916999936103821,0.6774537563323975,0.8392000198364258,0.8462236563476858,trop,25
0.03244137391448021,0.9916999936103821,0.6860631704330444,0.8375999927520752,0.8446102652011697,trop,27
0.03244137391448021,0.9916999936103821,0.6922838091850281,0.8363000154495239,0.8432993848946254,trop,29
0.03244137391448021,0.9916999936103821,0.6972910165786743,0.8353000283241272,0.8422910154280528,trop,31
0.03244137391448021,0.9916999936103821,0.7012617588043213,0.8343999981880188,0.8413834829081376,trop,33
0.03244137391448021,0.9916999936103821,0.7045016288757324,0.8335000276565552,0.8404759503882222,trop,35
0.03244137391448021,0.9916999936103821,0.7070715427398682,0.8327000141143799,0.8396692548149642,trop,37
0.03244137391448021,0.9916999936103821,0.7092092633247375,0.8317000269889832,0.8386608853483917,trop,39
0.03244137391448021,0.9916999936103821,0.7109799981117249,0.8313000202178955,0.8382575375617626,trop,41
