pre_loss,pre_acc,post_loss,post_acc,maintained_correct_pred,model_type
0.059644561260938644,0.984000027179718,5.669585227966309,0.12639999389648438,0.12835365853658537,relu
0.13347995281219482,0.9634000062942505,0.6522902250289917,0.7767000198364258,0.805895785758771,trop
0.06673071533441544,0.9815999865531921,4.539387226104736,0.13130000233650208,0.13376120619396903,relu
0.15407389402389526,0.9549000263214111,1.1534208059310913,0.6424999833106995,0.6720075400565504,trop
0.06366221606731415,0.9837999939918518,5.742311954498291,0.1559000015258789,0.15846716812360237,relu
0.16010375320911407,0.9563999772071838,1.1014271974563599,0.6872000098228455,0.7170639899623589,trop
0.05446872115135193,0.9846000075340271,5.796919345855713,0.11829999834299088,0.11994718667479179,relu
0.16773729026317596,0.9474999904632568,1.2388789653778076,0.6165000200271606,0.649287598944591,trop
0.058555010706186295,0.9836000204086304,4.6649370193481445,0.133200004696846,0.1354209028060187,relu
0.1327788531780243,0.9605000019073486,0.6054521203041077,0.7914999723434448,0.8226965122332118,trop
0.05849844217300415,0.9832000136375427,4.919673919677734,0.08579999953508377,0.08726606997558992,relu
0.14081603288650513,0.958299994468689,0.597594141960144,0.7893000245094299,0.8228112282166337,trop
0.060043007135391235,0.9833999872207642,4.830281734466553,0.1088000014424324,0.11063656701240594,relu
0.14513689279556274,0.958299994468689,0.5267594456672668,0.8253999948501587,0.8598559949911301,trop
0.060032524168491364,0.9847999811172485,5.774321556091309,0.13220000267028809,0.1342404549147035,relu
0.16904260218143463,0.957099974155426,1.021518588066101,0.6748999953269958,0.7046285654581549,trop
0.05916191264986992,0.9825999736785889,4.912359237670898,0.12939999997615814,0.13169143089761856,relu
0.13853223621845245,0.9617999792098999,0.6377389430999756,0.7839999794960022,0.8143065086296527,trop
0.05564722791314125,0.9848999977111816,5.678705215454102,0.1071000024676323,0.10874200426439233,relu
0.11582275480031967,0.9660000205039978,0.6673251390457153,0.7720999717712402,0.7977225672877847,trop
0.06558982282876968,0.9832000136375427,5.251180171966553,0.09969999641180038,0.10140358014646053,relu
0.14292891323566437,0.9585000276565552,0.6566863059997559,0.7763000130653381,0.8085550339071466,trop
0.05506555736064911,0.9837999939918518,5.866154670715332,0.1256999969482422,0.12776987192518804,relu
0.12590928375720978,0.9643999934196472,0.6018601655960083,0.7896999716758728,0.8184363334715885,trop
0.06125584617257118,0.9829999804496765,5.238195896148682,0.11289999634027481,0.11485249237029502,relu
0.1567397564649582,0.9477999806404114,0.7563778758049011,0.7297000288963318,0.7670394598016459,trop
0.06714773178100586,0.9819999933242798,4.971685409545898,0.13619999587535858,0.13869653767820775,relu
0.14348448812961578,0.958899974822998,0.86016845703125,0.7253000140190125,0.7556575242465324,trop
0.050914596766233444,0.9850999712944031,5.463723659515381,0.13420000672340393,0.13622982438331133,relu
0.11675489693880081,0.9664000272750854,0.8631880879402161,0.7261999845504761,0.7496895695364238,trop
0.07288849353790283,0.9817000031471252,6.603535175323486,0.12359999865293503,0.12590404400529692,relu
0.17141690850257874,0.9503999948501587,0.6779937744140625,0.7667999863624573,0.8042929292929293,trop
0.06664726883172989,0.983299970626831,5.24606466293335,0.10350000113248825,0.10525780534933388,relu
0.14022648334503174,0.9624000191688538,0.7953999638557434,0.7462999820709229,0.7750415627597672,trop
0.0753774419426918,0.9800999760627747,6.3865275382995605,0.10320000350475311,0.10529537802265075,relu
0.13149194419384003,0.9625999927520752,0.6350547671318054,0.7940999865531921,0.8228755453978808,trop
0.06352326273918152,0.9811999797821045,5.842449188232422,0.10490000247955322,0.1069099062372605,relu
0.17477834224700928,0.949999988079071,0.9382428526878357,0.7078999876976013,0.7430526315789474,trop
0.06250090152025223,0.9815000295639038,4.718580722808838,0.10660000145435333,0.10860927152317881,relu
0.13173194229602814,0.9611999988555908,0.8037934303283691,0.7346000075340271,0.7619642114024137,trop
