0,1,2
0.0,6.6962543,0.0
0.0,6.923268,0.0
0.0,6.3327274,0.0
0.0,6.8470182,0.0
0.0,6.194758,0.0
0.0,6.7813544,0.0
0.0,7.0414786,0.0
0.0,6.9843698,0.0
0.0,7.0876136,0.0
0.0,6.494715,0.0
0.0,6.864357,0.0
0.0,6.7439055,0.0
0.0,6.584491,0.0
0.0,7.2713094,0.0
0.0,6.8137603,0.0
0.0,6.4774003,0.0
0.0,7.1366644,0.0
0.0,6.3822536,0.0
0.0,6.946925,0.0
0.0,6.9777308,0.0
0.0,6.989217,0.0
0.0,6.6966796,0.0
0.0,6.8975587,0.0
0.0,6.887634,0.0
0.0,6.7721353,0.0
0.0,6.342885,0.0
0.0,6.7216516,0.0
0.0,6.8508124,0.0
0.0,6.8767986,0.0
0.0,7.375479,0.0
0.0,6.6740475,0.0
0.0,6.90918,0.0
0.0,6.4974914,0.0
0.0,6.7780957,0.0
0.0,6.74137,0.0
0.0,6.977981,0.0
0.0,5.687031,0.0
0.0,6.1038775,0.0
0.0,6.5592046,0.0
0.0,6.7993393,0.0
0.0,6.7720904,0.0
0.0,6.833199,0.0
0.0,6.549084,0.0
0.0,6.9613495,0.0
0.0,6.7510242,0.0
0.0,6.1179395,0.0
0.0,6.932422,0.0
0.0,7.190523,0.0
0.0,6.61169,0.0
0.0,6.6715035,0.0
0.0,6.765373,0.0
0.0,7.125315,0.0
0.0,7.3467116,0.0
0.0,6.71879,0.0
0.0,6.7450194,0.0
0.0,6.720025,0.0
0.0,5.768868,0.0
0.0,6.8382754,0.0
0.0,7.0477014,0.0
0.0,7.217342,0.0
0.0,6.6119,0.0
0.0,6.736792,0.0
0.0,7.087456,0.0
0.0,6.788388,0.0
0.0,6.4903035,0.0
0.0,6.808351,0.0
0.0,6.494804,0.0
0.0,6.499663,0.0
0.0,6.905374,0.0
0.0,6.690809,0.0
0.0,6.5482383,0.0
0.0,7.163269,0.0
0.0,6.832089,0.0
0.0,6.993499,0.0
0.0,6.185935,0.0
0.0,6.6324344,0.0
0.0,6.74093,0.0
0.0,7.213132,0.0
0.0,6.234986,0.0
0.0,6.030144,0.0
0.0,6.751947,0.0
0.0,7.2308626,0.0
0.0,6.7969356,0.0
0.0,6.922539,0.0
0.0,6.7943797,0.0
0.0,7.0427985,0.0
0.0,6.953062,0.0
0.0,7.485269,0.0
0.0,7.2227206,0.0
0.0,6.8423905,0.0
0.0,6.90845,0.0
0.0,6.697763,0.0
0.0,7.555309,0.0
0.0,6.535981,0.0
0.0,6.8956437,0.0
0.0,7.299752,0.0
0.0,6.974726,0.0
0.0,7.022784,0.0
0.0,6.6238055,0.0
0.0,6.9332576,0.0
