1.270690536499023438e+01,1.260107612609863281e+01,4.467707157135009766e+00
1.494734477996826172e+01,4.822077274322509766e+00,7.157734870910644531e+00
9.847242355346679688e+00,1.284235763549804688e+01,7.618437290191650391e+00
9.482736587524414062e+00,6.080667972564697266e+00,1.481263256072998047e+01
1.320368671417236328e+01,7.919691085815429688e+00,7.169057369232177734e+00
1.202982997894287109e+01,5.527542591094970703e+00,1.179484653472900391e+01
8.538192749023437500e+00,1.106685543060302734e+01,1.106686401367187500e+01
1.212764644622802734e+01,1.105866718292236328e+01,7.553386211395263672e+00
7.347145080566406250e+00,1.347457695007324219e+01,1.071673679351806641e+01
9.779303550720214844e+00,9.040284156799316406e+00,1.075718975067138672e+01
