0,1,2
2.562589,0.0,0.0
2.3865643,0.0,0.0
3.0001469,0.0,0.0
2.5386438,0.0,0.0
2.334629,0.0,0.0
2.6818094,0.0,0.0
2.7841058,0.0,0.0
2.2759595,0.0,0.0
2.598414,0.0,0.0
2.8603706,0.0,0.0
2.4099596,0.0,0.0
2.9406064,0.0,0.0
3.0443811,0.0,0.0
2.7037504,0.0,0.0
2.7106664,0.0,0.0
2.784721,0.0,0.0
2.4468713,0.0,0.0
2.6671357,0.0,0.0
2.76087,0.0,0.0
2.5539932,0.0,0.0
2.6942742,0.0,0.0
2.8707561,0.0,0.0
2.7658222,0.0,0.0
2.5410094,0.0,0.0
3.0811236,0.0,0.0
2.5389857,0.0,0.0
2.567628,0.0,0.0
2.628281,0.0,0.0
2.6236682,0.0,0.0
2.5811157,0.0,0.0
2.6522655,0.0,0.0
2.8103712,0.0,0.0
2.660717,0.0,0.0
2.9287932,0.0,0.0
2.7112465,0.0,0.0
2.7677574,0.0,0.0
2.8036208,0.0,0.0
2.6872106,0.0,0.0
2.8608243,0.0,0.0
2.609497,0.0,0.0
2.5466995,0.0,0.0
2.437791,0.0,0.0
2.6156595,0.0,0.0
1.1425192,0.0,2.8277369
2.8668454,0.0,0.0
2.3491595,0.0,0.0
2.9227657,0.0,0.0
2.7525854,0.0,0.0
2.5698318,0.0,0.0
2.856811,0.0,0.0
3.0824971,0.5610067,0.0
2.649695,0.0,0.0
2.5604084,0.0,0.0
2.9348557,0.0,0.0
2.619687,0.0,0.0
3.3216162,0.0,0.0
2.2704191,0.0,0.0
2.6187534,0.0,0.0
2.6702194,0.0,0.0
2.582908,0.0,0.0
2.865128,0.0,0.0
2.851243,0.0,0.0
2.6723964,0.0,0.0
2.6420364,0.0,0.0
2.9030917,0.0,0.0
2.6331155,0.0,0.0
2.6695113,0.0,0.0
2.3300261,0.0,0.0
2.2863917,0.0,0.0
2.799055,0.0,0.0
2.389241,0.0,1.1795233
2.604255,0.0,0.0
2.8765516,0.0,0.0
2.5094948,0.0,0.0
2.483307,0.0,0.0
2.6622376,0.0,0.0
2.4059782,0.0,0.0
2.9703631,0.0,0.0
2.2247822,0.0,0.0
2.8202386,0.0,0.0
2.6455321,0.0,0.0
2.8609145,0.0,0.0
2.6966817,0.0,0.0
3.1658149,0.0,0.0
2.4931114,0.0,0.0
2.6239197,0.0,0.0
3.0919616,0.0,0.0
3.0177906,0.0,0.0
3.1428947,0.0,0.0
2.58079,0.0,0.0
2.5677857,0.0,0.0
2.2804537,0.0,0.0
2.8538277,0.0,0.0
2.666091,0.0,0.0
2.882833,0.0,0.0
2.9258602,0.0,0.0
2.8289294,0.0,0.0
2.5104008,0.0,0.0
2.5706937,0.0,0.0
2.588097,0.0,0.0
